transactionno,transactiondate,transactiontime,itemname,customername,paymentmethod,paymentrceipt,costprice(rm),sellingprice(rm),profit(rm)
T0140,07/03/2025,11:24,Chocojar(Blueberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0649,6.5,8,1.5
T0141,07/03/2025,18:05,Chocojar(Chocolate),Liyana Abdullah,Cash,N/A,6.5,8,1.5
T0142,08/03/2025,16:21,Chocojar(Blueberry),Hafiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0035,6.5,8,1.5
T0143,08/03/2025,20:02,Chocojar(Chocolate),Ahmad Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0038,6.5,8,1.5
T0144,08/03/2025,14:37,Chocojar(Vanilla),Nur Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0110,6.5,8,1.5
T0145,08/03/2025,20:54,Chocojar(Vanilla),Zara Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0127,6.5,8,1.5
T0146,08/03/2025,15:51,Chocojar(Blueberry),Zulkifli Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0161,6.5,8,1.5
T0147,08/03/2025,16:29,Chocojar(Vanilla),Hafiz Abdullah,Cash,N/A,6.5,8,1.5
T0148,08/03/2025,17:40,Chocojar(Matcha),Hafiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0229,6.5,8,1.5
T0149,08/03/2025,14:39,Chocojar(Blueberry),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0259,6.5,8,1.5
T0150,08/03/2025,12:45,Chocojar(Chocolate),Aina Zainal,Cash,N/A,6.5,8,1.5
T0151,08/03/2025,14:37,Chocojar(Chocolate),Siti Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0319,6.5,8,1.5
T0152,08/03/2025,16:56,Chocojar(Vanilla),Siti Hassan,Cash,N/A,6.5,8,1.5
T0153,08/03/2025,20:33,Chocojar(Strawberry),Hafiz Aziz,Cash,N/A,6.5,8,1.5
T0154,08/03/2025,16:06,Chocojar(Vanilla),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0155,08/03/2025,13:05,Chocojar(Chocolate),Siti Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0457,6.5,8,1.5
T0156,08/03/2025,10:10,Chocojar(Strawberry),Ali Aziz,Cash,N/A,6.5,8,1.5
T0157,08/03/2025,21:34,Chocojar(Strawberry),Siti Latif,Cash,N/A,6.5,8,1.5
T0158,08/03/2025,18:53,Chocojar(Vanilla),Zulkifli Zainal,Cash,N/A,6.5,8,1.5
T0159,08/03/2025,22:56,Chocojar(Chocolate),Siti Ismail,Cash,N/A,6.5,8,1.5
T0160,08/03/2025,18:04,Chocojar(Blueberry),Siti Rahman,Cash,N/A,6.5,8,1.5
T0161,08/03/2025,14:12,Chocojar(Matcha),Hafiz Hassan,Cash,N/A,6.5,8,1.5
T0162,08/03/2025,12:36,Chocojar(Chocolate),Aina Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0633,6.5,8,1.5
T0163,08/03/2025,22:36,Chocojar(Vanilla),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0639,6.5,8,1.5
T0164,09/03/2025,19:47,Chocojar(Chocolate),Aina Zainal,Cash,N/A,6.5,8,1.5
T0165,09/03/2025,11:39,Chocojar(Matcha),Zulkifli Salleh,Cash,N/A,6.5,8,1.5
T0166,09/03/2025,16:16,Chocojar(Blueberry),Zara Zainal,Cash,N/A,6.5,8,1.5
T0167,09/03/2025,10:24,Chocojar(Matcha),Hafiz Ismail,Cash,N/A,6.5,8,1.5
T0168,09/03/2025,19:37,Chocojar(Blueberry),Ahmad Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0144,6.5,8,1.5
T0169,09/03/2025,17:29,Chocojar(Matcha),Aina Ismail,Cash,N/A,6.5,8,1.5
T0170,09/03/2025,12:17,Chocojar(Chocolate),Faiz Hassan,Cash,N/A,6.5,8,1.5
T0171,09/03/2025,17:50,Chocojar(Strawberry),Ahmad Hassan,Cash,N/A,6.5,8,1.5
T0172,09/03/2025,19:52,Chocojar(Chocolate),Zara Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0203,6.5,8,1.5
T0173,09/03/2025,08:07,Chocojar(Blueberry),Ali Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0212,6.5,8,1.5
T0174,09/03/2025,14:35,Chocojar(Blueberry),Siti Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0245,6.5,8,1.5
T0175,09/03/2025,12:53,Chocojar(Vanilla),Zara Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0297,6.5,8,1.5
T0176,09/03/2025,09:06,Chocojar(Strawberry),Zara Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0329,6.5,8,1.5
T0177,09/03/2025,21:40,Chocojar(Vanilla),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0178,09/03/2025,11:24,Chocojar(Blueberry),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0380,6.5,8,1.5
T0179,09/03/2025,11:48,Chocojar(Chocolate),Hafiz Hassan,Cash,N/A,6.5,8,1.5
T0180,09/03/2025,12:34,Chocojar(Vanilla),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0181,09/03/2025,13:28,Chocojar(Chocolate),Siti Yusof,Cash,N/A,6.5,8,1.5
T0182,09/03/2025,10:25,Chocojar(Vanilla),Nur Salleh,Cash,N/A,6.5,8,1.5
T0183,09/03/2025,08:59,Chocojar(Strawberry),Ali Omar,OnlineBanking,https://photos.app.goo.gl.com/T0462,6.5,8,1.5
T0184,09/03/2025,09:00,Chocojar(Strawberry),Zara Salleh,Cash,N/A,6.5,8,1.5
T0185,09/03/2025,10:53,Chocojar(Chocolate),Zulkifli Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0515,6.5,8,1.5
T0186,09/03/2025,20:10,Chocojar(Vanilla),Ahmad Ismail,Cash,N/A,6.5,8,1.5
T0187,09/03/2025,20:04,Chocojar(Blueberry),Siti Rahman,Cash,N/A,6.5,8,1.5
T0188,09/03/2025,08:46,Chocojar(Matcha),Faiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0593,6.5,8,1.5
T0189,09/03/2025,21:22,Chocojar(Vanilla),Zulkifli Salleh,Cash,N/A,6.5,8,1.5
T0190,10/03/2025,16:08,Chocojar(Vanilla),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0021,6.5,8,1.5
T0191,10/03/2025,18:18,Chocojar(Chocolate),Zara Hassan,Cash,N/A,6.5,8,1.5
T0192,10/03/2025,11:06,Chocojar(Strawberry),Ali Aziz,Cash,N/A,6.5,8,1.5
T0193,10/03/2025,11:07,Chocojar(Vanilla),Zara Aziz,Cash,N/A,6.5,8,1.5
T0194,10/03/2025,19:15,Chocojar(Blueberry),Siti Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0160,6.5,8,1.5
T0195,10/03/2025,22:22,Chocojar(Chocolate),Siti Latif,Cash,N/A,6.5,8,1.5
T0196,10/03/2025,17:28,Chocojar(Chocolate),Zulkifli Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0173,6.5,8,1.5
T0197,10/03/2025,12:44,Chocojar(Strawberry),Faiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0199,6.5,8,1.5
T0198,10/03/2025,12:03,Chocojar(Strawberry),Ahmad Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0230,6.5,8,1.5
T0199,10/03/2025,14:38,Chocojar(Blueberry),Ali Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0255,6.5,8,1.5
T0200,10/03/2025,09:25,Chocojar(Matcha),Zulkifli Yusof,Cash,N/A,6.5,8,1.5
T0201,10/03/2025,16:16,Chocojar(Blueberry),Faiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0338,6.5,8,1.5
T0202,10/03/2025,11:49,Chocojar(Strawberry),Aina Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0355,6.5,8,1.5
T0203,10/03/2025,08:11,Chocojar(Strawberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0392,6.5,8,1.5
T0204,10/03/2025,10:27,Chocojar(Blueberry),Siti Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0446,6.5,8,1.5
T0205,10/03/2025,17:13,Chocojar(Matcha),Hafiz Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0503,6.5,8,1.5
T0206,10/03/2025,14:33,Chocojar(Matcha),Siti Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0528,6.5,8,1.5
T0207,10/03/2025,13:48,Chocojar(Matcha),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0598,6.5,8,1.5
T0208,10/03/2025,13:32,Chocojar(Matcha),Ahmad Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0641,6.5,8,1.5
T0209,11/03/2025,10:40,Chocojar(Vanilla),Ahmad Latif,OnlineBanking,https://photos.app.goo.gl.com/T0001,6.5,8,1.5
T0210,11/03/2025,18:07,Chocojar(Strawberry),Hafiz Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0053,6.5,8,1.5
T0211,11/03/2025,15:42,Chocojar(Vanilla),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0095,6.5,8,1.5
T0212,11/03/2025,12:09,Chocojar(Strawberry),Faiz Ismail,Cash,N/A,6.5,8,1.5
T0213,11/03/2025,08:44,Chocojar(Blueberry),Zulkifli Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0125,6.5,8,1.5
T0214,11/03/2025,12:56,Chocojar(Blueberry),Siti Zainal,Cash,N/A,6.5,8,1.5
T0215,11/03/2025,19:44,Chocojar(Blueberry),Zulkifli Salleh,Cash,N/A,6.5,8,1.5
T0216,11/03/2025,10:48,Chocojar(Chocolate),Aina Rahman,Cash,N/A,6.5,8,1.5
T0217,11/03/2025,19:29,Chocojar(Strawberry),Liyana Abdullah,Cash,N/A,6.5,8,1.5
T0218,11/03/2025,16:50,Chocojar(Strawberry),Zulkifli Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0283,6.5,8,1.5
T0219,11/03/2025,12:50,Chocojar(Chocolate),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0318,6.5,8,1.5
